x,y,z,roll,pitch,yaw,reachable,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.12,-0.1,0.06,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.1,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.1,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.14,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.14,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.18,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.18,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.02,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.02,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.06,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.06,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.1,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.1,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.14,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.14,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.18,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.05,0.18,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.02,0.0,0.0,0.0,1,-0.308378846356775,-2.326121805846074,0.837975852518309,-1.626360322636315,1.2624113195373496,1.5966231000631304
0.12,0.0,0.02,0.0,0.7854,0.0,1,-0.30755391477783106,-2.3136727455932125,0.8131988793125222,-1.622278809670086,1.257516426851847,2.3740931328880457
0.12,0.0,0.02,0.0,1.5708,0.0,1,2.140247710332988,2.2941713519525053,-0.7723110929241875,1.6196947699372148,-2.5802101577901384,-3.1415703142836655
0.12,0.0,0.06,0.0,0.0,0.0,1,-0.3082947493033553,-2.216113928184223,1.0595683936674833,-1.9580928675811116,1.2623811172894757,1.5964861212948815
0.12,0.0,0.06,0.0,0.7854,0.0,1,2.138978581731915,2.1992599439251754,-1.0239463848012584,1.959418726018547,-2.5792292958064404,2.3598674851722787
0.12,0.0,0.06,0.0,1.5708,0.0,1,2.139953475492543,2.1944435105028472,-1.0090957674904246,1.9562425474639362,-2.5806597667495,-3.14159
0.12,0.0,0.1,0.0,0.0,0.0,1,-0.3082806975812979,-2.005626155738024,1.0934292503919225,-2.2022587217324,1.262409327700389,1.596654392393726
0.12,0.0,0.1,0.0,0.7854,0.0,1,2.1391421310693906,1.9913099988874563,-1.0581517933219402,2.2015455265657145,-2.579058368994781,2.359883847728113
0.12,0.0,0.1,0.0,1.5708,0.0,1,2.1398786500509397,1.9887572250438905,-1.0463169589734844,2.19915411584915,-2.5807213499945054,3.14159
0.12,0.0,0.14,0.0,0.0,0.0,1,-0.30834094174572824,-1.7217267832062866,0.9506461499983883,-2.34341075132521,1.2623468309215278,1.596621253507367
0.12,0.0,0.14,0.0,0.7854,0.0,1,2.1391723870408366,1.868913855738484,0.4019546064467627,-2.2777449643465175,-0.562567994621659,-0.7817128989883457
0.12,0.0,0.14,0.0,1.5708,0.0,1,-0.30722820958902664,-1.869862104996728,-0.4059608188993534,2.275891670157714,1.8862246325809406,7.224991329625661e-05
0.12,0.0,0.18,0.0,0.0,0.0,1,2.137018039234576,1.456668712027627,0.8815871374633307,-2.347966186566267,-0.5662154490994925,-1.5655898481388968
0.12,0.0,0.18,0.0,0.7854,0.0,1,2.139203563873899,1.3191267322641882,-0.48626855761090976,2.3018785497687686,-2.578989343771119,2.359867198615095
0.12,0.0,0.18,0.0,1.5708,0.0,1,2.139865804217426,1.4602423724588538,0.8818831197467853,-2.3421128361182206,-0.5608658050109505,-1.0762447396045968e-05
0.12,0.05,0.02,0.0,0.0,0.0,1,2.323683464881439,1.3967072377915344,1.3049104920618328,0.4287503750479563,-2.3887206401581524,1.578472576960259
0.12,0.05,0.02,0.0,0.7854,0.0,1,-0.006480468581423922,-1.3848158273015405,-1.6405089469583702,0.3252100453661399,1.5572327720771202,2.7976596060988483
0.12,0.05,0.02,0.0,1.5708,0.0,1,-0.006500942703145704,-1.40813752354408,-1.2790699283574285,-0.4541695676277181,1.556086387351627,-3.141372145573028
0.12,0.05,0.06,0.0,0.0,0.0,1,2.3236159432238046,1.0741378640767496,1.4881350642627151,0.5680782345411955,-2.38879763292542,1.5784768832858622
0.12,0.05,0.06,0.0,0.7854,0.0,1,2.3259495377672437,2.4296820391894625,-1.4774252879375864,2.1814129578770296,-2.392228501826821,2.3616037871956315
0.12,0.05,0.06,0.0,1.5708,0.0,1,-0.006513837480398153,-2.4261056273889463,1.4646783312203837,-2.1801695478087546,1.556118279616778,3.14159
0.12,0.05,0.1,0.0,0.0,0.0,1,2.3238968406627816,2.10743482591807,0.40543871035794943,-2.524091173133595,-0.7531612433142457,-1.563115326923823
0.12,0.05,0.1,0.0,0.7854,0.0,1,2.3264149691415663,2.1783049155438596,-1.5058097354274804,2.4611782436343796,-2.391751795727443,2.3616018847305207
0.12,0.05,0.1,0.0,1.5708,0.0,1,-0.00655401805374415,-2.1206940346544436,-0.38168305227463206,2.5041557929238256,1.5854864242748903,0.001786998109899564
0.12,0.05,0.14,0.0,0.0,0.0,1,2.324405132368516,0.5973434838200933,1.3919658899696659,1.1410346751251157,-2.38796388442149,1.5784910578199476
0.12,0.05,0.14,0.0,0.7854,0.0,1,-0.006675544815547276,-2.0255832277339656,1.8058412340787149,-2.4845894954244785,1.5570830512532796,2.7934379722185376
0.12,0.05,0.14,0.0,1.5708,0.0,1,-0.0066851283704312805,-0.6140539391445237,-1.370704758846776,-1.1571822864057721,1.5559130476776237,3.1412523825875724
0.12,0.05,0.18,0.0,0.0,0.0,1,2.3260470132576243,0.513729281250668,1.0975203584440252,1.5190371556686593,-2.3863637158828994,1.5785454838855348
